,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Atltico-MG,Lateral,Mariano,5.58,0.21,2.1,1.82,4.0,4.0,,,,,,,,,,,,,,2.0,,,,,1.0,,38877.0,282,2,0.0
1,Atltico-MG,Atacante,Paulinho,8.54,-1.07,0.4,3.92,4.0,4.0,,,,,,1.0,,1.0,,,,,,,,,,,,,99818.0,282,5,0.0
2,Palmeiras,Meia,Gabriel Menino,6.79,-0.45,1.1,3.33,4.0,4.0,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,103767.0,275,4,0.0
3,Internacional,Zagueiro,Vito,5.1,-1.1,0.0,2.25,4.0,4.0,,,,,,,,,,,,,,,,,,,,,97900.0,285,3,0.0
4,Vasco,Lateral,Puma Rodrguez,5.68,0.17,3.5,3.05,4.0,4.0,,,,,,1.0,,,,,,,,3.0,,,,,2.0,,99213.0,267,2,0.0
5,Fluminense,Atacante,Keno,2.6,0.0,0.0,-0.63,3.0,4.0,,,,,,,,,,,,,,,,,,,,,86485.0,266,5,0.0
6,Santos,Tcnico,Odair Hellmann,8.64,-0.16,3.5,4.92,4.0,4.0,,,,,,,,,,,,,,,,,,,,,92273.0,277,6,0.0
7,Flamengo,Meia,Everton Ribeiro,9.09,0.28,7.65,3.7,4.0,4.0,,,,,,3.0,,,,,,,,3.0,,,,,,,51772.0,262,4,7.65
8,Vasco,Atacante,Pedro Raul,7.7,1.91,8.5,4.95,4.0,4.0,1.0,,,,,1.0,,,,,,,,,,,,,,,98225.0,267,5,0.0
9,Santos,Meia,Lucas Lima,5.44,-0.66,-0.1,2.73,4.0,4.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,80583.0,277,4,0.0
10,Atltico-MG,Goleiro,Everson,4.15,0.57,3.0,2.38,4.0,4.0,,,,,,,,,,,,,5.0,,,,,2.0,,,72294.0,282,1,0.0
11,Vasco,Zagueiro,Robson Bambu,3.44,0.34,3.1,1.82,4.0,4.0,,,,,,2.0,,,,,,,,2.0,,,,,1.0,,101579.0,267,3,0.0
12,Atltico-MG,Lateral,Mariano,5.37,-0.94,-0.3,1.73,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,38877.0,282,2,0.0
13,Internacional,Zagueiro,Vito,6.2,1.79,7.4,3.0,3.0,3.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,97900.0,285,3,0.0
14,Vasco,Zagueiro,Robson Bambu,3.1,0.81,3.4,1.4,3.0,3.0,,,,,,2.0,,,,,,,,2.0,,,,,,,101579.0,267,3,0.0
15,Fluminense,Atacante,Keno,2.6,-0.56,-0.4,-0.63,3.0,3.0,,,,,,,,,,,,,,1.0,,,1.0,,2.0,,86485.0,266,5,0.0
16,Vasco,Atacante,Pedro Raul,5.79,-0.64,1.3,3.77,3.0,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,98225.0,267,5,0.0
17,Palmeiras,Meia,Gabriel Menino,7.24,-0.09,3.3,4.07,3.0,3.0,,,,,3.0,,,,,,,,,1.0,,,,,1.0,,103767.0,275,4,0.0
18,Vasco,Lateral,Puma Rodrguez,5.51,0.82,4.8,2.9,3.0,3.0,,,,,1.0,1.0,,1.0,,,,,,3.0,,,,,,,99213.0,267,2,0.0
19,Flamengo,Meia,Everton Ribeiro,8.81,0.6,8.1,3.23,3.0,3.0,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,51772.0,262,4,8.1
20,Atltico-MG,Goleiro,Everson,3.58,-0.64,0.5,2.17,3.0,3.0,,,,,,1.0,,,,,,,2.0,,,,1.0,1.0,,,72294.0,282,1,0.0
21,Santos,Meia,Lucas Lima,6.1,-0.07,2.8,3.67,3.0,3.0,,,,,1.0,1.0,,,,,,,,2.0,,,,,3.0,,80583.0,277,4,0.0
22,Santos,Tcnico,Odair Hellmann,8.8,1.0,6.54,5.39,3.0,3.0,,,,,,,,,,,,,,,,,,,,,92273.0,277,6,0.0
23,Atltico-MG,Atacante,Paulinho,9.61,0.9,6.1,5.1,3.0,3.0,,,,2.0,1.0,1.0,,,,,,,,2.0,,,,,,,99818.0,282,5,0.0
24,Coritiba,Meia,Liziero,4.35,-0.42,1.4,1.9,2.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,100761.0,294,4,0.0
25,Bahia,Meia,Daniel,3.79,-1.21,1.2,1.2,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,93791.0,265,4,0.0
26,Vasco,Meia,Alex Teixeira,6.43,1.01,6.9,3.65,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,60793.0,267,4,0.0
27,Cuiab,Tcnico,Ivo Vieira,5.57,0.91,3.45,3.84,2.0,2.0,,,,,,,,,,,,,,,,,,,,,121593.0,1371,6,0.0
28,Santos,Zagueiro,Messias,7.05,2.28,8.2,5.3,2.0,2.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,87402.0,277,3,0.0
29,Vasco,Lateral,Puma Rodrguez,4.69,-0.15,3.4,1.95,2.0,2.0,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,99213.0,267,2,0.0
30,So Paulo,Lateral,Nathan Mendes,4.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,113157.0,276,2,0.0
31,Coritiba,Goleiro,Gabriel,4.02,0.15,3.0,2.0,2.0,2.0,,,,,,,,,,,,,6.0,,,,,3.0,,,70449.0,294,1,0.0
32,Vasco,Atacante,Pedro Raul,6.43,2.49,8.9,5.0,2.0,2.0,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,98225.0,267,5,0.0
33,Santos,Atacante,ångelo,4.65,0.78,6.9,2.8,2.0,2.0,,,,,,2.0,,,,,,,,3.0,,,,,,,110415.0,277,5,6.9
34,Gois,Meia,Fellipe Bastos,5.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,70116.0,290,4,0.0
35,Coritiba,Zagueiro,Kuscevic,4.01,-0.25,2.6,1.6,2.0,2.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,98619.0,294,3,0.0
36,Atltico-MG,Lateral,Saravia,6.32,-1.68,1.8,1.8,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,2.0,,96725.0,282,2,0.0
37,Bragantino,Zagueiro,Natan,6.52,0.52,4.1,4.1,1.0,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,,107110.0,280,3,0.0
38,Grmio,Meia,Vina,5.81,-3.19,0.0,0.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,,71162.0,284,4,0.0
39,Fluminense,Zagueiro,Vitor Mendes,5.1,2.1,4.9,4.9,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,104401.0,266,3,0.0
